sample_id	model	auroc	auprc
FFPE-Colon-Tumoral_B00GXKT	mobsnvf	0.919211316579736	0.850134384075114
FFPE-Colon-Tumoral_B00GXKT	vafsnvf	0.389615931721195	0.244533818377425
FFPE-Colon-Tumoral_B00GXKT	sobdetector	0.844287261086537	0.468718741161288
FFPE-Colon-Tumoral_B00GXKT	gatk-obmm	0.499999999999997	0.169960474308298
